row_number,DT_BB_VEHICLE_ID,V_NICK_NAME,DT_DRIVE_DATE,START_ODOMETER,END_ODOMETER,TOTAL_DISTANCE,MANUFACTURER,V_PLATE_NUMBER
1,"4601710","DSP368",13/08/2024,4484.4,4562.7,78.3,,"DSP368"
2,"4569370","EIW901",13/08/2024,80416.3,80423.3,7.0,,"EIW901"
3,"4569331","ELZ647",13/08/2024,81379.2,81435.2,56.0,,"ELZ647"
4,"4569292","ELZ651",13/08/2024,80727.7,80765.7,38.0,,"ELZ651"
5,"4570350","FWY614",13/08/2024,143167.7,143169.1,1.4,,"FWY614"
6,"4601779","FWY615",13/08/2024,126069.4,126070.8,1.4,,"FWY615"
7,"4563842","GFN800",13/08/2024,52347.9,52395.7,47.8,,"GFN800"
8,"4564595","GSQ488",13/08/2024,183501.0,183595.6,94.6,,"GSQ488"
9,"4568455","HDT540",13/08/2024,200062.6,200084.5,21.9,,"HDT540"
10,"4568445","HDT595",13/08/2024,123835.5,123852.5,17.0,,"HDT595"
11,"4569353","JLX558",13/08/2024,68232.2,68300.9,68.7,,"JLX558"
12,"4564582","JRN309",13/08/2024,174400.0,174406.8,6.8,"NISSAN","JRN309"
13,"4570293","JXW664",13/08/2024,11302.9,11321.8,18.9,"NISSAN","JXW664"
14,"4569237","JXW665",13/08/2024,34710.3,34731.9,21.6,,"JXW665"
15,"4570635","JXW666",13/08/2024,34654.3,34708.6,54.3,"NISSAN","JXW666"
16,"4570004","JXW667",13/08/2024,34697.7,34721.7,24.0,,"JXW667"
17,"4568462","JXW668",13/08/2024,101216.8,101266.1,49.3,,"JXW668"
18,"4564589","KST089",13/08/2024,89711.4,89737.4,26.0,,"KST089"
19,"4569240","KST094",13/08/2024,34202.8,34293.7,90.9,"NISSAN","KST094"
20,"4578449","KXU736",13/08/2024,47760.5,47789.2,28.7,,"KXU736"
21,"4565217","LNX000",13/08/2024,19522.7,19528.2,5.5,,"LNX000"
22,"4569459","LOM410",13/08/2024,26492.3,26497.6,5.3,,"LOM410"
23,"4569766","LOO403",13/08/2024,48169.4,48196.1,26.7,,"LOO403"
24,"4570809","LOV342",13/08/2024,12263.4,12346.6,83.2,,"LOV342"
25,"4570815","LOV348",13/08/2024,13604.7,13628.3,23.6,,"LOV348"
26,"4601335","LOV361",13/08/2024,5384.3,5395.4,11.1,,"LOV361"
27,"4568562","LOV377",13/08/2024,13252.6,13305.6,53.0,,"LOV377"
28,"4570739","LUR896",13/08/2024,10998.5,11033.4,34.9,,"LUR896"
29,"4578236","LUR900",13/08/2024,16295.2,16317.2,22.0,,"LUR900"
30,"4578212","LUR903",13/08/2024,8966.9,9098.1,131.2,,"LUR903"
31,"4569767","MKK117",13/08/2024,281311.0,281319.4,8.4,,"MKK117"
32,"4625014","NJU559",13/08/2024,1111.6,1130.9,19.3,"NISSAN","NJU559"
33,"4625053","NJW906",13/08/2024,1871.8,1893.1,21.3,"NISSAN","NJW906"
34,"4601068","NNY355",13/08/2024,33294.5,33297.5,3.0,,"NNY355"
35,"4620617","WDQ359",13/08/2024,218484.6,218496.2,11.6,,"WDQ359"
36,"4569287","WDQ361",13/08/2024,198597.5,198605.7,8.2,,"WDQ361"
37,"4564579","WPR730",13/08/2024,269793.8,269828.0,34.2,,"WPR730"
