row_number,DT_BB_VEHICLE_ID,V_NICK_NAME,DT_DRIVE_DATE,START_ODOMETER,END_ODOMETER,TOTAL_DISTANCE,MANUFACTURER,V_PLATE_NUMBER
1,"4601710","DSP368",22/07/2024,4145.5,4155.8,10.3,,"DSP368"
2,"4569765","DSP369",22/07/2024,163400.4,163436.3,35.9,,"DSP369"
3,"4564458","DUW359",22/07/2024,221084.7,221088.9,4.2,"NISSAN","DUW359"
4,"4569370","EIW901",22/07/2024,79898.8,79902.4,3.6,,"EIW901"
5,"4570627","ELZ645",22/07/2024,73825.9,73913.1,87.2,,"ELZ645"
6,"4569331","ELZ647",22/07/2024,81119.2,81139.0,19.8,,"ELZ647"
7,"4569292","ELZ651",22/07/2024,80294.9,80301.4,6.5,,"ELZ651"
8,"4568503","EOQ030",22/07/2024,114810.9,114858.5,47.6,,"EOQ030"
9,"4563785","EOQ031",22/07/2024,120536.1,120762.8,226.7,,"EOQ031"
10,"4564513","FOL210",22/07/2024,86317.2,86346.5,29.3,,"FOL210"
11,"4569327","FVR316",22/07/2024,49701.9,49747.6,45.7,,"FVR316"
12,"4601779","FWY615",22/07/2024,125207.0,125236.1,29.1,,"FWY615"
13,"4563842","GFN800",22/07/2024,51873.5,51876.4,2.9,,"GFN800"
14,"4564595","GSQ488",22/07/2024,181582.2,181674.3,92.1,,"GSQ488"
15,"4568455","HDT540",22/07/2024,199010.9,199014.2,3.3,,"HDT540"
16,"4571320","HDT589",22/07/2024,173804.8,173805.9,1.1,,"HDT589"
17,"4570917","INY756",22/07/2024,65267.7,65341.8,74.1,,"INY756"
18,"4569353","JLX558",22/07/2024,66750.1,66862.0,111.9,,"JLX558"
19,"4564582","JRN309",22/07/2024,172794.9,172910.2,115.3,"NISSAN","JRN309"
20,"4570424","JXP211",22/07/2024,37217.7,37241.9,24.2,,"JXP211"
21,"4570293","JXW664",22/07/2024,10601.3,10625.1,23.8,"NISSAN","JXW664"
22,"4569237","JXW665",22/07/2024,34311.6,34322.6,11.0,,"JXW665"
23,"4570635","JXW666",22/07/2024,34094.7,34124.3,29.6,"NISSAN","JXW666"
24,"4570004","JXW667",22/07/2024,33953.0,33969.2,16.2,,"JXW667"
25,"4568462","JXW668",22/07/2024,98319.4,98576.4,257.0,,"JXW668"
26,"4564589","KST089",22/07/2024,87511.7,87733.4,221.7,,"KST089"
27,"4570454","KST091",22/07/2024,40296.5,40371.5,75.0,"NISSAN","KST091"
28,"4569240","KST094",22/07/2024,32659.0,32730.6,71.6,"NISSAN","KST094"
29,"4569990","KST096",22/07/2024,45218.9,45275.5,56.6,"NISSAN","KST096"
30,"4578449","KXU736",22/07/2024,46487.1,46534.3,47.2,,"KXU736"
31,"4569459","LOM410",22/07/2024,25234.4,25328.9,94.5,,"LOM410"
32,"4569766","LOO403",22/07/2024,46154.9,46159.9,5.0,,"LOO403"
33,"4570809","LOV342",22/07/2024,10424.5,10546.3,121.8,,"LOV342"
34,"4570815","LOV348",22/07/2024,12963.6,13033.4,69.8,,"LOV348"
35,"4601335","LOV361",22/07/2024,4799.0,4814.3,15.3,,"LOV361"
36,"4568562","LOV377",22/07/2024,12403.1,12441.0,37.9,,"LOV377"
37,"4570739","LUR896",22/07/2024,9030.1,9253.7,223.6,,"LUR896"
38,"4578236","LUR900",22/07/2024,13124.9,13149.5,24.6,,"LUR900"
39,"4563651","MKK119",22/07/2024,285366.5,285431.3,64.8,,"MKK119"
40,"4568696","MKK585",22/07/2024,288716.7,288719.9,3.2,,"MKK585"
41,"4625014","NJU559",22/07/2024,82.5,532.7,450.2,"NISSAN","NJU559"
42,"4624930","NJW895",22/07/2024,603.5,662.4,58.9,"NISSAN","NJW895"
43,"4625053","NJW906",22/07/2024,1069.9,1518.4,448.5,"NISSAN","NJW906"
44,"4625009","NJW911",22/07/2024,472.1,490.1,18.0,"NISSAN","NJW911"
45,"4578484","NNY220",22/07/2024,10944.4,10949.2,4.8,,"NNY220"
46,"4601068","NNY355",22/07/2024,30195.2,30379.4,184.2,,"NNY355"
47,"4563995","TFN064",22/07/2024,242607.4,242699.0,91.6,,"TFN064"
48,"4568568","WDQ357",22/07/2024,144638.1,144661.5,23.4,,"WDQ357"
49,"4620617","WDQ359",22/07/2024,217042.4,217049.2,6.8,,"WDQ359"
50,"4569287","WDQ361",22/07/2024,198271.4,198343.8,72.4,,"WDQ361"
51,"4564579","WPR730",22/07/2024,265409.9,265514.6,104.7,,"WPR730"
