ROW_NUMBER,BB_VEHICLE_ID,NICK_NAME,PLATE_NUMBER,OVERSPEEDING_COUNT,OVER_SPEED_DURATION_SECS,AVG_SPEED,TOP_SPEED,TOTAL_TRIP_DISTANCE,TOTAL_NUMBER_OF_TRIPS
1,"4563785","EOQ031","EOQ031",0,0,24,54,3.3,1
2,"4563842","GFN800","GFN800",0,0,43,72,28.1,1
3,"4563995","TFN064","TFN064",0,0,29,50,10.9,1
4,"4564579","WPR730","WPR730",0,0,37,72,108.3,2
5,"4564582","JRN309","JRN309",0,0,30,54,4.9,2
6,"4564589","KST089","KST089",0,0,26,48,20.7,5
7,"4564595","GSQ488","GSQ488",0,0,24,59,11.6,10
8,"4565192","WDQ205","WDQ205",0,0,21,39,5.7,2
9,"4568455","HDT540","HDT540",0,0,23,48,6.1,2
10,"4568457","BXL782","BXL782",0,0,,0,0.0,1
11,"4568562","LOV377","LOV377",0,0,21,28,2.3,4
12,"4568568","WDQ357","WDQ357",0,0,22,41,5.5,2
13,"4569240","KST094","KST094",0,0,,0,0.0,3
14,"4569280","JXS750","JXS750",2,15,25,44,37.4,2
15,"4569292","ELZ651","ELZ651",5,105,43,70,16.3,1
16,"4569331","ELZ647","ELZ647",0,0,37,78,30.1,1
17,"4569353","JLX558","JLX558",1,7,33,81,77.7,4
18,"4569443","WDQ358","WDQ358",0,0,22,50,23.9,4
19,"4569459","LOM410","LOM410",0,0,21,39,3.9,4
20,"4569765","DSP369","DSP369",0,0,13,20,1.0,1
21,"4569766","LOO403","LOO403",13,165,68,94,177.6,2
22,"4569767","MKK117","MKK117",0,0,17,31,5.2,1
23,"4569866","JXW662","JXW662",4,216,12,15,2.1,4
24,"4569988","LUQ594","LUQ594",0,0,26,46,4.8,3
25,"4569990","KST096","KST096",1,8,28,41,24.6,2
26,"4570004","JXW667","JXW667",3,78,26,39,18.5,1
27,"4570627","ELZ645","ELZ645",0,0,26,76,58.3,5
28,"4570739","LUR896","LUR896",0,0,23,35,2.1,6
29,"4570809","LOV342","LOV342",1,7,41,83,30.7,3
30,"4570815","LOV348","LOV348",0,0,38,57,21.8,1
31,"4578236","LUR900","LUR900",0,0,21,30,8.1,1
32,"4578449","KXU736","KXU736",0,0,25,31,7.0,1
33,"4601335","LOV361","LOV361",0,0,31,31,3.3,2
34,"4601710","DSP368","DSP368",0,0,31,80,31.7,3
35,"4601779","FWY615","FWY615",0,0,48,76,71.4,2
