ROW_NUMBER,BB_VEHICLE_ID,NICK_NAME,PLATE_NUMBER,OVERSPEEDING_COUNT,OVER_SPEED_DURATION_SECS,AVG_SPEED,TOP_SPEED,TOTAL_TRIP_DISTANCE,TOTAL_NUMBER_OF_TRIPS
1,"4563651","MKK119","MKK119",0,0,28,59,62.3,12
2,"4563766","JXW663","JXW663",0,0,19,30,5.4,3
3,"4563785","EOQ031","EOQ031",0,0,22,46,10.0,5
4,"4563842","GFN800","GFN800",0,0,27,46,2.7,2
5,"4563995","TFN064","TFN064",0,0,,0,0.0,2
6,"4564579","WPR730","WPR730",0,0,29,67,109.0,9
7,"4564582","JRN309","JRN309",3,103,36,98,143.0,5
8,"4564589","KST089","KST089",1,7,35,85,319.0,7
9,"4565192","WDQ205","WDQ205",40,1960,42,87,380.1,7
10,"4565217","LNX000","LNX000",0,0,26,65,9.9,2
11,"4568445","HDT595","HDT595",0,0,,0,0.0,2
12,"4568455","HDT540","HDT540",0,0,23,61,86.2,10
13,"4568457","BXL782","BXL782",0,0,,0,0.0,2
14,"4568462","JXW668","JXW668",4,30,39,85,322.2,4
15,"4568562","LOV377","LOV377",0,0,25,59,17.2,12
16,"4568568","WDQ357","WDQ357",0,0,24,63,31.7,10
17,"4568962","LUQ491","LUQ491",0,0,,0,0.0,1
18,"4569240","KST094","KST094",0,0,,0,0.0,1
19,"4569280","JXS750","JXS750",5,1103,16,39,19.9,5
20,"4569292","ELZ651","ELZ651",2,48,23,67,40.6,7
21,"4569327","FVR316","FVR316",0,0,27,80,48.5,6
22,"4569331","ELZ647","ELZ647",0,0,19,30,3.0,2
23,"4569353","JLX558","JLX558",0,0,37,80,20.1,1
24,"4569370","EIW901","EIW901",0,0,22,41,5.9,3
25,"4569443","WDQ358","WDQ358",0,0,,0,0.0,4
26,"4569459","LOM410","LOM410",1,2,35,81,118.0,6
27,"4569765","DSP369","DSP369",8,705,33,96,216.1,11
28,"4569766","LOO403","LOO403",2,17,36,87,75.7,8
29,"4569767","MKK117","MKK117",0,0,19,57,58.8,8
30,"4569866","JXW662","JXW662",8,576,13,17,4.2,8
31,"4569988","LUQ594","LUQ594",0,0,24,46,84.7,4
32,"4569990","KST096","KST096",9,289,21,35,29.1,8
33,"4570004","JXW667","JXW667",8,77,19,48,67.6,5
34,"4570293","JXW664","JXW664",0,0,23,39,43.8,9
35,"4570454","KST091","KST091",14,1794,20,35,54.0,6
36,"4570627","ELZ645","ELZ645",0,0,29,80,50.1,6
37,"4570636","EIW904","EIW904",0,0,33,72,57.3,5
38,"4570739","LUR896","LUR896",0,0,27,78,50.4,11
39,"4570809","LOV342","LOV342",0,0,32,78,121.6,12
40,"4577897","DBV584","DBV584",0,0,27,72,59.4,6
41,"4578212","LUR903","LUR903",0,0,26,46,52.2,2
42,"4578236","LUR900","LUR900",0,0,41,76,205.4,2
43,"4578449","KXU736","KXU736",0,0,20,41,39.9,6
44,"4601335","LOV361","LOV361",0,0,17,46,42.1,6
45,"4601710","DSP368","DSP368",0,0,35,81,129.3,13
46,"4601779","FWY615","FWY615",0,0,22,46,76.0,12
47,"4620617","WDQ359","WDQ359",4,25,30,83,105.0,5
