row_number,DT_BB_VEHICLE_ID,V_NICK_NAME,DT_DRIVE_DATE,START_ODOMETER,END_ODOMETER,TOTAL_DISTANCE,MANUFACTURER,V_PLATE_NUMBER
1,"4577897","DBV584",11/07/2024,345531.2,345590.6,59.4,,"DBV584"
2,"4601710","DSP368",11/07/2024,3779.6,3908.9,129.3,,"DSP368"
3,"4569765","DSP369",11/07/2024,162246.8,162462.9,216.1,,"DSP369"
4,"4569370","EIW901",11/07/2024,79556.6,79562.5,5.9,,"EIW901"
5,"4570636","EIW904",11/07/2024,82698.6,82755.9,57.3,,"EIW904"
6,"4570627","ELZ645",11/07/2024,73645.1,73695.2,50.1,,"ELZ645"
7,"4569331","ELZ647",11/07/2024,80943.8,80946.8,3.0,,"ELZ647"
8,"4569292","ELZ651",11/07/2024,80069.4,80110.0,40.6,,"ELZ651"
9,"4563785","EOQ031",11/07/2024,119597.9,119607.9,10.0,,"EOQ031"
10,"4569327","FVR316",11/07/2024,49384.9,49433.4,48.5,,"FVR316"
11,"4601779","FWY615",11/07/2024,124458.9,124534.9,76.0,,"FWY615"
12,"4563842","GFN800",11/07/2024,51637.2,51639.9,2.7,,"GFN800"
13,"4568455","HDT540",11/07/2024,198636.2,198722.4,86.2,,"HDT540"
14,"4569353","JLX558",11/07/2024,66168.5,66188.6,20.1,,"JLX558"
15,"4564582","JRN309",11/07/2024,171665.8,171808.8,143.0,"NISSAN","JRN309"
16,"4569280","JXS750",11/07/2024,41552.7,41572.6,19.9,"NISSAN","JXS750"
17,"4569866","JXW662",11/07/2024,40541.2,40545.4,4.2,"NISSAN","JXW662"
18,"4563766","JXW663",11/07/2024,30742.8,30748.2,5.4,,"JXW663"
19,"4570293","JXW664",11/07/2024,10120.1,10163.9,43.8,"NISSAN","JXW664"
20,"4570004","JXW667",11/07/2024,33763.9,33831.5,67.6,,"JXW667"
21,"4568462","JXW668",11/07/2024,96503.5,96825.7,322.2,,"JXW668"
22,"4564589","KST089",11/07/2024,86162.0,86481.0,319.0,,"KST089"
23,"4570454","KST091",11/07/2024,39394.9,39448.9,54.0,"NISSAN","KST091"
24,"4569990","KST096",11/07/2024,44195.6,44224.7,29.1,"NISSAN","KST096"
25,"4578449","KXU736",11/07/2024,45580.3,45620.2,39.9,,"KXU736"
26,"4565217","LNX000",11/07/2024,18508.9,18518.8,9.9,,"LNX000"
27,"4569459","LOM410",11/07/2024,24711.8,24829.8,118.0,,"LOM410"
28,"4569766","LOO403",11/07/2024,44868.9,44944.6,75.7,,"LOO403"
29,"4570809","LOV342",11/07/2024,9785.6,9907.2,121.6,,"LOV342"
30,"4601335","LOV361",11/07/2024,4451.9,4494.0,42.1,,"LOV361"
31,"4568562","LOV377",11/07/2024,12139.3,12156.5,17.2,,"LOV377"
32,"4569988","LUQ594",11/07/2024,32590.9,32675.6,84.7,"NISSAN","LUQ594"
33,"4570739","LUR896",11/07/2024,7447.8,7498.2,50.4,,"LUR896"
34,"4578236","LUR900",11/07/2024,10767.1,10972.5,205.4,,"LUR900"
35,"4578212","LUR903",11/07/2024,6464.4,6516.6,52.2,,"LUR903"
36,"4569767","MKK117",11/07/2024,280277.6,280336.4,58.8,,"MKK117"
37,"4563651","MKK119",11/07/2024,284864.2,284926.5,62.3,,"MKK119"
38,"4565192","WDQ205",11/07/2024,252433.4,252813.5,380.1,,"WDQ205"
39,"4568568","WDQ357",11/07/2024,144305.4,144337.1,31.7,,"WDQ357"
40,"4620617","WDQ359",11/07/2024,216270.0,216375.0,105.0,,"WDQ359"
41,"4564579","WPR730",11/07/2024,264191.2,264300.2,109.0,,"WPR730"
